PC1,PC2,localization_class
-1.2903515084175907,-0.32491247216998176,cp
-1.5860121595449943,-1.034682921955443,cp
-0.5304831234661268,-0.1304951840145354,cp
-0.26172079839583334,0.3382640750844212,cp
-1.824364371827563,-0.731834460438068,cp
-0.6403592597604488,0.09149847886446331,cp
-2.143460415848124,-0.666199645781785,cp
-1.7694564087717901,-0.7930572687406997,cp
-0.6932709380548455,-1.0062976241776345,cp
-1.5712012338289463,0.03519964381177671,cp
-1.360234099843867,-0.684405890009857,cp
-2.2212008627911035,0.037552026049753384,cp
-1.7508210655360443,-0.38245732104490304,cp
-0.9854807803884117,0.35886641512666667,cp
-2.303164913666821,-0.1670559514267946,cp
-0.9620384222574123,-0.8853166312908313,cp
-1.8918623217387933,-0.03398885834508779,cp
-0.10849495415227457,-1.1488888745395909,cp
-1.9982187843112906,-0.497585720353977,cp
-1.683849269514894,0.5600487312774884,cp
-2.6710099852396816,0.7885273760547268,cp
-2.350309823386899,-0.36660710523978435,cp
-0.8143341876820901,0.33197356288631374,cp
-2.570501187298804,-0.7660498346705137,cp
-2.0050703467668107,0.02736627250672886,cp
-0.861720158062237,-0.9117547505200156,cp
-1.488411401344989,-0.6075416950624817,cp
-1.378713506013105,-0.31879344529241765,cp
-0.8576260495646691,-0.43586936433013485,cp
-1.183323548226206,-0.2591524070053743,cp
-1.3238294465455027,0.04947411113886209,cp
-1.5433402296346002,-0.6773555432393745,cp
-0.7885578008082145,0.27745141000077156,cp
-1.3569843317716432,-0.7050008891810676,cp
-2.7030165714552927,-0.3992215682143544,cp
-0.9624193712949093,-0.04548761016320894,cp
-1.5452697631195988,-0.040103058416096765,cp
-0.2849680956956399,0.39782482371321565,cp
-1.8806409261517312,-0.2458956824438233,cp
-1.7076992146430188,0.16958444896181632,cp
-1.145569247759483,-0.2872026784946394,cp
-0.6859999526833819,-0.8530874523574336,cp
-0.7679753252712315,-0.1388863103531258,cp
-1.3669252980382038,-0.6252477807406114,cp
-0.550395218604753,0.2423551142416703,cp
-1.304176377575359,-1.0436080320493069,cp
0.1705811033689028,-0.9767747377720306,cp
-1.5281278825604665,-0.13386237981221386,cp
-1.7482388994301896,-0.04930984471415232,cp
-1.727720190200167,-0.8726691313514073,cp
-1.074100847714709,0.07349580366864418,cp
-3.064462096002305,-0.11776946550134389,cp
-1.6640847642436054,-0.8902698696296647,cp
-0.5639312420800352,-0.5235614265235107,cp
-2.4705303258917355,0.5800059851796522,cp
-1.274132193796741,0.2448528887584841,cp
-1.1362745836247572,-0.2399708402433117,cp
-1.2865160372424067,-0.47110165133565307,cp
-1.6126842999664894,-0.3877183307696971,cp
-0.8891083779207223,-0.39973406645164655,cp
-0.07791517616853444,-0.08268309702760085,cp
-1.3560159731691157,-0.07643820679201677,cp
-0.5117105192072637,-0.7127997052384817,cp
-2.249003657038481,-0.8487142476506655,cp
-1.0270735010735075,-0.5706973188351214,cp
-0.31570148267921483,-1.0396360602066244,cp
-1.7036824107661495,-0.6796126924749815,cp
-0.08281218076718924,0.12594934987126225,cp
-1.9911465656077687,-0.51533422626365,cp
-0.5456218967220987,-0.3684633217001149,cp
-2.4428367510872304,-0.7835006060163332,cp
-1.2426050432337634,0.2785248542169825,cp
-1.053222611079146,-0.12232897279629913,cp
-1.9401228623070077,0.3358941411043173,cp
-1.9871320002391117,-0.37527237632281757,cp
-1.5768134903506463,-0.43130896400447843,cp
-1.3990137303461188,0.10428070283196804,cp
-0.3673466494885613,-0.3238314870449252,cp
-1.651423464232122,-0.4645260573121717,cp
-1.1170583853091178,-0.6201731996804822,cp
-1.534119238457549,-0.8479582374548877,cp
-1.2239390987246659,-0.16257370663666731,cp
-1.9407116855683435,-0.05053007450401372,cp
-0.8302118267426929,0.034202508070679496,cp
-0.5069705014911104,-0.18149630343234596,cp
-0.12835005620795983,-0.5474872487872375,cp
-0.10299284203283715,-0.16650529442293793,cp
-1.0248045305364741,0.05330349383206246,cp
-1.808561866540651,0.533675612441178,cp
-1.8979444890920039,0.20316183883541922,cp
-0.9501970413132507,-0.31844693529781276,cp
-1.9431337944550702,0.12491670281359166,cp
-1.6711858772544228,0.18783010811420153,cp
-2.195553171506278,-0.02071241978980057,cp
-1.9725966814267675,-0.10259535373299458,cp
-0.1725272527314924,1.356368391023836,cp
-1.7396118448921496,-0.4725479674183498,cp
-1.2076645867940894,0.7060873041069738,cp
-0.9679386926331843,0.9331848355097546,cp
-0.5877009121416505,0.0740638514288013,cp
-1.1425584369048576,-0.22095215794054435,cp
-0.7477199688997399,-0.1758162569483844,cp
-2.0342116375856,-0.42399405902262866,cp
-1.7751406317890943,0.1165854744873381,cp
-1.9897897604364432,-0.7200767386535628,cp
-1.4522980783873634,-0.23140823546547623,cp
-1.0633153268550577,0.07539247083768634,cp
-1.0219323517058538,-0.7516310922201962,cp
-0.985108571463335,0.002696266544794576,cp
-1.7074791440733907,-0.1667746440029375,cp
-2.369624165839985,-0.10533384055550818,cp
-0.45689190679160246,-1.0083495092483852,cp
-1.8363526321040846,-0.28311028308767894,cp
-1.649527798438075,-0.5708018732919444,cp
-1.886938875508801,0.10111682405107905,cp
-1.289488670190374,0.32292420685414647,cp
-1.37479968446838,-0.37548809606519573,cp
-1.5299310304363147,0.6151527648555113,cp
-1.155564508282986,-0.4458639848643555,cp
-1.0466704337549122,-1.1508294682483091,cp
-1.9550258165905299,-1.0139155648051803,cp
-1.9164956651718879,-0.36821554827665054,cp
-1.6699017491136783,-0.7338232292257729,cp
-2.4485577410169257,-1.1831960853120784,cp
-0.5849411876931926,-0.10697539543262366,cp
-0.9956584694315093,-0.1832337062007516,cp
-2.1143799666450827,-0.5029023830283655,cp
-1.0995925271454907,-0.16456253846261099,cp
-2.056659959402626,-0.6688333485067771,cp
-1.0105869836962063,-0.3755041544248582,cp
-1.4764477086857144,-1.5025755855526377,cp
-1.5148667376144556,-0.617658036547431,cp
-1.7900376915494038,-0.13039054053064777,cp
-1.1301700409039281,-0.8828372179989229,cp
-1.2177541672742083,-0.4968360428451508,cp
-1.0958401475930848,-0.32893242997693556,cp
-2.2520014397189034,-0.23978800417448198,cp
-2.097129844730717,-0.3933813773622133,cp
-1.4428007519321764,-0.05731204082659411,cp
-1.9737693297098216,-0.7465572150760519,cp
-0.2742883884810516,-0.8716249636757535,cp
-1.531281534398875,-0.5246825826040091,cp
-1.73679162055433,-0.5672874877023574,cp
0.0030548311570525633,-0.6630628998168828,im
-0.3084555755685184,-0.1902868786128451,im
1.9860476888621756,-0.876207240246755,im
1.6278435282401351,-1.7871278764005547,im
1.5549924199513603,-1.3396533329310594,im
1.2885192520992548,-1.33738017531087,im
1.920445744273327,-0.8353013880329601,im
0.7389921713216255,-1.8109784318086022,im
1.4369933466658091,-1.094388534861155,im
0.9485450185628425,-1.1795266468117542,im
1.7670478680155974,-0.9432950188638796,im
0.6134257417829978,-0.7092975332597675,im
1.9153207112559574,-1.2762295785816073,im
2.5483072543875456,-1.2687708397441957,im
1.7689212118269413,-0.27559418267717445,im
1.6657238747876733,-1.15275155414596,im
1.7431904212890204,-1.059722885643761,im
1.884306882737148,-1.4946917419199932,im
1.895464926580438,-0.6782727633723667,im
1.37797481923385,-0.33652521491526927,im
1.418623745370499,-0.6939871285447023,im
0.7337362001398432,-0.9858296820491816,im
1.708056243036747,-0.2476305857857447,im
2.025816150287545,-0.7228915319119654,im
1.548117725334662,-0.660763450397103,im
2.391414800755531,-0.8743353025649844,im
1.49707588811234,-1.229167358218215,im
1.569156015626186,-1.4527666515556268,im
2.590379625506831,-0.9208288974662038,im
1.4089173803512316,-1.6363811225508382,im
1.365355567064454,-1.2832770591844955,im
2.0416134006185183,-0.7337245186434583,im
1.0953190467252054,-1.067712845633074,im
1.4788560223182703,-0.1809991131402209,im
1.4752877498323869,-0.1288218886083025,im
2.00866134832404,-0.5677870313633795,im
2.2256515788540083,-1.5469271798270041,im
2.330396208441896,-0.6258317866352884,im
2.265817794048211,-0.9946576915705758,im
2.4552521525248143,2.1023837121632796,im
-1.6028060063870326,-0.5404735043626161,im
2.1578856520572964,0.4339487379732932,im
0.9965425444357472,-1.6659896423625788,im
2.208919237656795,0.11114538441543936,im
1.886519203282741,-0.545133512306432,im
0.5459906792306026,-1.7386133959923051,im
0.896359045031186,-0.019987649959867123,im
0.17855825389632565,-1.3236460614754229,im
1.9423914088555732,0.009264258660416382,im
1.2689640992032911,-1.0066177982891846,im
1.3795901549577299,-0.655715105132377,im
1.8868395532913635,-1.383571766736731,im
2.0411221823221566,-0.6275201212940056,im
0.8029484152349131,-0.863409083996065,im
1.3817232039942242,-0.3691102918125338,im
1.6815648717924874,-0.9148191257755405,im
0.7756132892436832,-1.183515429431166,im
1.5827565297157098,-0.45177495694563957,im
0.7244789598202525,-1.0574685765869223,im
0.8867364792203176,-1.2767795947077178,im
1.1511426064142671,-1.043122312400085,im
1.0658453486848967,-1.5188645056121501,im
2.326398219741309,-0.4083596964462375,im
1.2514055804254074,-0.8088985539562208,im
0.39768842391309456,-1.4124239982109137,im
1.8875254145398814,-2.1559720259333672,im
2.380098138602524,-0.5587930130896135,im
1.8770268217920811,-0.8941393491794815,im
1.866900845406214,-0.7626748087616223,im
-0.29745344048243366,0.4897393932627983,im
-0.7379028254530249,-0.059056523805030424,im
-1.2115438408023842,-0.9894505729952112,im
-1.4119925064677146,-0.4296977327512347,im
-0.7587403101027093,-0.19785329250518316,im
-0.831065972591011,0.3271811798656957,im
2.0839052533132096,0.38806955562523293,im
3.482296133291507,-1.048264871560003,im
0.5792418873512047,0.9264914152594146,imS
1.809823244643073,-0.6796344686326753,imS
0.7334795923431925,12.18487718418406,imL
2.665370276303,1.8388502335119898,imL
2.2439366277105246,-0.7799357479616582,imU
2.6236718251410043,-0.7909973944746432,imU
2.55169244145109,-0.3706416004236208,imU
1.8889055731664637,-0.7199376810642494,imU
1.691865511613987,-0.6227990394241364,imU
2.0148912011209346,-0.9199325975096171,imU
1.887158275435935,-0.7252119235070944,imU
1.6238459858377128,-1.3837977769281693,imU
1.109927649649127,-0.6753585701528214,imU
1.5700952830891421,-0.5092577976717587,imU
1.4588827424723956,-0.6503206281024781,imU
2.080558900555083,0.4018043364647437,imU
2.240037975906754,-0.19720555516355828,imU
2.0616824571698738,-0.12515427174479474,imU
1.2726871693812278,-0.1606506666726487,imU
1.8485561041367737,-0.36302156058270496,imU
1.5866396251304806,-0.9062706952475394,imU
1.9282697854839945,-0.9993088372694946,imU
2.9479310543685022,-0.8926177291916927,imU
2.886579083872041,-0.4808527228619758,imU
2.5427245569535213,-0.2466172785341751,imU
1.5290699070853444,-1.0580674346585923,imU
0.9700653505685146,-0.20329366950189467,imU
2.956843817095183,-0.7148593182935687,imU
1.398736388964307,-0.4666119061626628,imU
2.42205759095471,-0.2857913937999435,imU
1.7166716658712442,-1.2033122908539928,imU
